Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
ICN,Foreign,<=50,1,1,Leisure,6,5,5,2,5,3,2,1,41,3,5,1100,30,12,NA
ICN,Korean,<=50,1,1,Business,150,0,5,2,3,4,4,1,150,2,2,4600,10,12,NA
ICN,Korean,<=50,1,1,Business,6,7,5,2,2,3,3,1,57,4,2,10000,20,12,NA
ICN,Korean,<=50,1,1,Leisure,5,1,5,2,1,3,3,1,64,1,8,8000,40,4,1
ICN,Korean,<=50,1,4,Business,180,1,5,2,2,3,3,1,52,2,2,52000,311,12,NA
ICN,Korean,<=50,1,1,Business,3,0,5,2,2,3,3,1,89,2,8,50000,390,12,NA
ICN,Foreign,<=50,1,4,Leisure,4,4,5,1,2,3,3,1,50,1,8,56000,311,3,3
ICN,Korean,<=50,2,1,Leisure,5,2,5,1,1,3,3,1,52,2,8,38000,120,5,2
ICN,Korean,<=50,2,4,Leisure,6,2,5,2,1,3,3,1,45,2,8,24000,110,12,NA
ICN,Korean,>50,2,1,Leisure,6,1,5,1,2,1,3,2,66,2,8,50000,311,12,NA
ICN,Korean,<=50,1,1,Leisure,5,2,5,2,1,3,3,1,45,2,8,24000,65,12,NA
ICN,Korean,>50,2,1,Leisure,6,1,5,2,1,3,2,1,52,1,8,50000,180,7,2
ICN,Korean,<=50,1,1,Business,90,1,5,2,4,1,2,1,45,2,1,10000,60,12,NA
ICN,Korean,<=50,1,1,Business,100,0,6,2,0,4,3,1,110,1,7,1200,15,12,NA
ICN,Korean,<=50,2,1,Leisure,7,1,6,2,1,3,3,1,24,1,1,1200,290,8,7
ICN,Korean,<=50,2,4,Business,7,1,6,2,2,3,3,1,24,3,8,1200,290,12,NA
ICN,Foreign,<=50,1,1,Business,2,1,6,2,3,3,2,1,60,3,2,1200,290,12,NA
ICN,Korean,<=50,2,1,Leisure,8,4,6,2,1,1,3,1,40,1,4,1200,390,8,2
ICN,Foreign,<=50,1,1,Leisure,5,1,7,2,0,3,2,1,61,3,8,6000,120,12,NA
ICN,Foreign,<=50,2,1,Leisure,5,1,7,2,2,3,2,1,61,3,8,6000,120,12,NA
ICN,Korean,<=50,1,5,Business,90,1,8,2,4,1,3,1,37,1,5,8400,180,2,2
ICN,Korean,<=50,1,2,Business,15,1,8,2,7,1,2,1,52,1,6,8000,40,1,3
ICN,Korean,<=50,2,2,Leisure,99,1,8,2,4,1,2,1,31,1,1,8400,34,9,4
ICN,Korean,>50,1,5,Business,7,2,8,2,50,3,3,1,75,1,8,8400,150,2,6
ICN,Korean,<=50,2,1,Leisure,99,1,8,2,0,2,2,1,23,1,1,8400,180,9,5
ICN,Foreign,<=50,1,1,Leisure,4,2,8,1,0,3,3,3,40,1,5,2700,40,3,2
ICN,Foreign,>50,2,1,Business,99,0,8,2,0,3,4,1,27,1,6,15000,100,9,1
ICN,Korean,<=50,2,1,Leisure,15,2,8,2,0,2,4,1,27,1,1,8400,180,2,3
